行号,技能,主要技能ID,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
126,龙牙,dragonFang,152.1875,152.1875,153.405,3,3,0,15,14,1,1,0,0,1,2,1,,[],14433205.3907055,"{""dragonFang"":7402392.425689955,""dragonBlood"":1608276.5664462459,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""autoAttack"":222054.87265258387,""bleedTick"":1162106.698377429}"
127,灭·破楼兰,destroy,153.405,153.405,154.6225,0,0,3,14,14,1,1,0,0,1,2,2,poLouLanBonus,[],5547374.906165373,"{""destroy"":2153969.0417588134,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2082000.9183120006,""destroyStrain"":350256.68238678254,""autoAttack"":222054.87265258387}"
128,雷→龙牙,dragonFang,154.6225,154.6225,155.84,3,3,2,14,13,1,1,1,0,1,2,2,,"[{""action"":""thunder"",""seconds"":154.6225,""rageBefore"":3,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":14,""chargeReadyAtStart"":false,""breakArmyWindow"":null,""activeUntilSeconds"":172.6225}]",23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
129,龙牙,dragonFang,155.84,155.84,157.0575,2,2,1,13,12,1,1,1,0,1,2,2,,[],22996512.582765024,"{""dragonFang"":11403845.32897831,""dragonBlood"":2477649.94818737,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
130,龙牙,dragonFang,157.0575,157.0575,158.275,1,1,0,12,11,1,1,1,0,1,2,2,,[],22442605.167025454,"{""dragonFang"":10948802.527785365,""dragonBlood"":2378785.3336407477,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
131,CW→龙牙,dragonFang,158.275,158.275,159.4925,0,5,5,11,10,1,1,1,1,1,2,2,,"[{""action"":""orange"",""seconds"":158.275,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""ride"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",28709398.376336757,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612}"
132,龙牙,dragonFang,159.4925,159.4925,160.71,5,5,5,10,9,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
133,龙牙,dragonFang,160.71,160.71,161.9275,5,5,5,9,8,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
134,龙牙,dragonFang,161.9275,161.9275,163.145,5,5,5,8,7,1,1,1,1,0,2,2,,[],25965687.59424903,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
135,龙牙,dragonFang,163.145,163.145,164.3625,5,5,5,7,6,1,1,1,1,0,2,2,,[],24124066.2934642,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""orangeExtra"":5447152.265520969,""autoAttack"":323516.0942473035}"
136,龙牙,dragonFang,164.3625,164.3625,165.58,5,5,4,6,5,1,1,1,0,0,2,2,,[],20518535.32872806,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
137,龙牙,dragonFang,165.58,165.58,166.7975,4,4,3,5,4,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
138,灭·正常,destroy,166.7975,166.7975,168.015,3,3,5,4,4,1,1,1,0,0,2,2,normal,[],9798966.491403362,"{""destroy"":3253447.5778302182,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":3122095.99247746,""destroyStrain"":564636.1597970189,""bleedTick"":1841621.3007848305}"
139,龙牙,dragonFang,168.015,168.015,169.2325,5,5,4,4,3,1,1,1,0,0,2,2,,[],18676914.02794323,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035}"
140,龙牙,dragonFang,169.2325,169.2325,170.45,4,4,3,3,2,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
141,断魂刺→龙牙,dragonFang,170.45,170.45,171.6675,3,5,4,2,1,1,1,1,0,0,2,2,,"[{""action"":""charge"",""seconds"":170.45,""rageBefore"":3,""rageAfter"":5,""mounted"":true,""thunder"":true,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",22804389.640460253,"{""charge"":251523.390704524,""breakArmy"":4068661.842055337,""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""dragonFangDivine"":89232.49785178235,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
142,龙牙,dragonFang,171.6675,171.6675,172.885,4,4,3,1,0,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
143,下马+突→任驰骋→断魂刺,ride,172.885,172.885,174.1025,3,3,5,0,6,1,1,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":172.885,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":false,""orange"":false,""ride"":false,""reason"":""refresh-ride"",""dragonRideStacksAtStart"":0,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":172.885,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":false,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null},{""action"":""charge"",""seconds"":174.04,""rageBefore"":3,""rageAfter"":5,""mounted"":true,""thunder"":false,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",2564471.5015571215,"{""dash"":63334.09498545909,""breakArmy"":2109157.706406262,""autoAttack"":222054.87265258387,""charge"":169924.82751281673}"
144,龙牙,dragonFang,174.1025,174.1025,175.32,5,5,2,6,5,1,1,0,0,1,2,2,,[],15133852.245253831,"{""dragonFang"":7970046.480179491,""dragonBlood"":1731607.6006826034,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497}"
145,灭·正常,destroy,175.32,175.32,176.5375,2,2,5,5,5,1,1,0,0,1,2,2,normal,[],7325220.952438546,"{""destroy"":2349242.6237770272,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2270750.04571451,""destroyStrain"":350256.68238678254,""autoAttack"":222054.87265258387,""bleedTick"":1393823.3368524497}"
146,龙牙,dragonFang,176.5375,176.5375,177.755,5,5,2,5,4,1,1,0,0,1,2,2,,[],15355907.117906416,"{""dragonFang"":7970046.480179491,""dragonBlood"":1731607.6006826034,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""autoAttack"":222054.87265258387,""bleedTick"":1393823.3368524497}"
147,灭·破楼兰,destroy,177.755,177.755,178.9725,2,2,5,4,4,1,1,0,0,1,2,2,poLouLanBonus,[],5931397.615586096,"{""destroy"":2349242.6237770272,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2270750.04571451,""destroyStrain"":350256.68238678254,""autoAttack"":222054.87265258387}"
148,龙牙,dragonFang,178.9725,178.9725,180,5,5,2,4,3,1,1,0,0,1,2,2,,[],15355907.117906416,"{""dragonFang"":7970046.480179491,""dragonBlood"":1731607.6006826034,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
