行号,技能,主要技能ID,开始秒,施展秒,结束秒,本行起始战意,主要技能前战意,主要技能后战意,龙驭前,龙驭后,施展前马上,结算后马上,激雷,橙武,驰骋,流血层数,流血品质,灭来源,非GCD动作JSON,本行伤害,伤害明细JSON
126,龙牙,dragonFang,152.1875,152.1875,153.405,5,5,2,16,15,1,1,0,0,1,2,2,,[],13962083.781053966,"{""dragonFang"":7970046.480179491,""dragonBlood"":1731607.6006826034,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""autoAttack"":222054.87265258387}"
127,灭·破楼兰,destroy,153.405,153.405,154.6225,2,2,5,15,15,1,1,0,0,1,2,2,poLouLanBonus,[],7325220.952438546,"{""destroy"":2349242.6237770272,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2270750.04571451,""destroyStrain"":350256.68238678254,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
128,wait,,154.6225,154.6225,154.9975,5,5,5,15,15,1,1,0,0,0,2,2,,[],0,{}
129,雷→龙牙,dragonFang,154.9975,154.9975,156.215,5,5,4,15,14,1,1,1,0,1,2,2,,"[{""action"":""thunder"",""seconds"":154.9975,""rageBefore"":5,""rageAfter"":null,""mounted"":true,""thunder"":null,""orange"":null,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":15,""chargeReadyAtStart"":false,""breakArmyWindow"":null,""activeUntilSeconds"":172.9975}]",24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
130,龙牙,dragonFang,156.215,156.215,157.4325,4,4,3,14,13,1,1,1,0,1,2,2,,[],24115188.343964543,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
131,龙牙,dragonFang,157.4325,157.4325,158.65,3,3,2,13,12,1,1,1,0,1,2,2,,[],23561280.928224973,"{""dragonFang"":11867810.538037783,""dragonBlood"":2578453.084587848,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
132,CW→龙牙,dragonFang,158.65,158.65,159.8675,2,5,5,12,11,1,1,1,1,1,2,2,,"[{""action"":""orange"",""seconds"":158.65,""rageBefore"":null,""rageAfter"":5,""mounted"":null,""thunder"":null,""orange"":null,""ride"":null,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
133,龙牙,dragonFang,159.8675,159.8675,161.085,5,5,5,11,10,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
134,龙牙,dragonFang,161.085,161.085,162.3025,5,5,5,10,9,1,1,1,1,1,2,2,,[],30956330.68607285,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""bleedTick"":2246932.309736091}"
135,龙牙,dragonFang,162.3025,162.3025,163.52,5,5,5,9,8,1,1,1,1,1,2,2,,[],31314297.334144723,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725,""bleedTick"":2246932.309736091}"
136,龙牙,dragonFang,163.52,163.52,164.7375,5,5,5,8,7,1,1,1,1,1,2,2,,[],29067365.02440863,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""orangeExtra"":6645201.574440612,""autoAttack"":357966.6480718725}"
137,龙牙,dragonFang,164.7375,164.7375,165.955,5,5,4,7,6,1,1,1,0,1,2,2,,[],24669095.75970411,"{""dragonFang"":12777896.140423676,""dragonBlood"":2776182.313681091,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":357966.6480718725}"
138,龙牙,dragonFang,165.955,165.955,167.1725,4,4,3,6,5,1,1,1,0,1,2,2,,[],24080737.790139973,"{""dragonFang"":12322853.33923073,""dragonBlood"":2677317.699134469,""dragonFangStrain"":564636.1597970189,""breakGang"":3453669.2581398995,""breakArmy"":2382931.5758545445,""dragonFangDivine"":108881.35399991347,""bleedTick"":2246932.309736091,""autoAttack"":323516.0942473035}"
139,灭·正常,destroy,167.1725,167.1725,168.39,3,3,5,5,5,1,1,1,0,0,2,2,normal,[],10122482.585650666,"{""destroy"":3253447.5778302182,""breakArmy"":1017165.4605138343,""destroyPoLouLan"":3122095.99247746,""destroyStrain"":564636.1597970189,""bleedTick"":1841621.3007848305,""autoAttack"":323516.0942473035}"
140,龙牙,dragonFang,168.39,168.39,169.6075,5,5,4,5,4,1,1,1,0,0,2,2,,[],18353397.933695927,"{""dragonFang"":10523635.835853688,""dragonBlood"":2310394.4303595773,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235}"
141,龙牙,dragonFang,169.6075,169.6075,170.825,4,4,3,4,3,1,1,1,0,0,2,2,,[],20061493.49502138,"{""dragonFang"":10148871.111140365,""dragonBlood"":2228117.3213662216,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
142,龙牙,dragonFang,170.825,170.825,172.0425,3,3,2,3,2,1,1,1,0,0,2,2,,[],19604451.661314704,"{""dragonFang"":9774106.386427041,""dragonBlood"":2145840.212372868,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
143,龙牙,dragonFang,172.0425,172.0425,173.26,2,2,1,2,1,1,1,1,0,0,2,2,,[],19138448.22302554,"{""dragonFang"":9391993.333778162,""dragonBlood"":2061949.8267325847,""dragonFangStrain"":564636.1597970189,""breakGang"":2831168.0888061924,""breakArmy"":2034330.9210276685,""dragonFangDivine"":89232.49785178235,""autoAttack"":323516.0942473035,""bleedTick"":1841621.3007848305}"
144,下马+突→任驰骋→断魂刺,ride,173.26,173.26,174.4775,1,1,4,1,7,1,1,0,0,0,2,2,,"[{""action"":""dismount"",""seconds"":173.26,""rageBefore"":null,""rageAfter"":null,""mounted"":true,""thunder"":false,""orange"":false,""ride"":false,""reason"":""refresh-ride"",""dragonRideStacksAtStart"":1,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null},{""action"":""dash"",""seconds"":173.26,""rageBefore"":null,""rageAfter"":null,""mounted"":false,""thunder"":false,""orange"":false,""ride"":false,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":true,""activeUntilSeconds"":null},{""action"":""charge"",""seconds"":174.415,""rageBefore"":1,""rageAfter"":4,""mounted"":true,""thunder"":false,""orange"":false,""ride"":true,""reason"":null,""dragonRideStacksAtStart"":null,""chargeReadyAtStart"":null,""breakArmyWindow"":null,""activeUntilSeconds"":null}]",2564471.5015571215,"{""dash"":63334.09498545909,""breakArmy"":2109157.706406262,""autoAttack"":222054.87265258387,""charge"":169924.82751281673}"
145,龙牙,dragonFang,174.4775,174.4775,175.695,4,4,1,7,6,1,1,0,0,1,2,2,,[],15010414.573543468,"{""dragonFang"":7686219.452934723,""dragonBlood"":1669942.0835644247,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
146,灭·正常,destroy,175.695,175.695,176.9125,1,1,4,6,6,1,1,0,0,1,2,2,normal,[],7133209.597728184,"{""destroy"":2251605.8327679196,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2176375.4820132554,""destroyStrain"":350256.68238678254,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
147,龙牙,dragonFang,176.9125,176.9125,178.13,4,4,1,6,5,1,1,0,0,1,2,2,,[],14788359.700890884,"{""dragonFang"":7686219.452934723,""dragonBlood"":1669942.0835644247,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497}"
148,灭·破楼兰,destroy,178.13,178.13,179.3475,1,1,4,5,5,1,1,0,0,1,2,2,poLouLanBonus,[],5739386.2608757345,"{""destroy"":2251605.8327679196,""breakArmy"":739093.3910551926,""destroyPoLouLan"":2176375.4820132554,""destroyStrain"":350256.68238678254,""autoAttack"":222054.87265258387}"
149,龙牙,dragonFang,179.3475,179.3475,180,4,4,1,5,4,1,1,0,0,1,2,2,,[],15010414.573543468,"{""dragonFang"":7686219.452934723,""dragonBlood"":1669942.0835644247,""dragonFangStrain"":350256.68238678254,""breakGang"":2142389.7769001666,""breakArmy"":1478186.7821103851,""dragonFangDivine"":67541.58614195058,""bleedTick"":1393823.3368524497,""autoAttack"":222054.87265258387}"
